2026-01-10 16:40:13,r250.5.col,Reativo,"iter=300, bloco=50",0,19.8317,68
2026-01-10 16:40:14,r250.5.col,Guloso,"-",1768074014,0.0676,70
2026-01-10 16:40:21,r250.5.col,Randomizado,"alpha=0.100000, iter=100",1768074014,6.6357,69
2026-01-10 16:40:27,r250.5.col,Randomizado,"alpha=0.300000, iter=100",1768074014,6.7481,68
2026-01-10 16:40:34,r250.5.col,Randomizado,"alpha=0.500000, iter=100",1768074014,6.7351,68
2026-01-10 16:40:54,r250.5.col,Reativo,"iter=300, bloco=50",0,19.8414,68
2026-01-10 16:40:55,r250.5.col,Guloso,"-",1768074055,0.0663,70
2026-01-10 16:41:02,r250.5.col,Randomizado,"alpha=0.100000, iter=100",1768074055,6.6807,68
2026-01-10 16:41:09,r250.5.col,Randomizado,"alpha=0.300000, iter=100",1768074055,6.8005,68
2026-01-10 16:41:15,r250.5.col,Randomizado,"alpha=0.500000, iter=100",1768074055,6.6882,69
2026-01-10 16:41:35,r250.5.col,Reativo,"iter=300, bloco=50",0,19.7513,68
2026-01-10 16:41:36,r250.5.col,Guloso,"-",1768074096,0.0678,70
2026-01-10 16:41:43,r250.5.col,Randomizado,"alpha=0.100000, iter=100",1768074096,6.6342,69
2026-01-10 16:41:50,r250.5.col,Randomizado,"alpha=0.300000, iter=100",1768074096,6.8328,67
2026-01-10 16:41:56,r250.5.col,Randomizado,"alpha=0.500000, iter=100",1768074096,6.7318,69
2026-01-10 16:42:16,r250.5.col,Reativo,"iter=300, bloco=50",0,19.9924,67
2026-01-10 16:42:17,r250.5.col,Guloso,"-",1768074137,0.0685,70
2026-01-10 16:42:24,r250.5.col,Randomizado,"alpha=0.100000, iter=100",1768074137,6.6341,69
2026-01-10 16:42:31,r250.5.col,Randomizado,"alpha=0.300000, iter=100",1768074137,6.7961,68
2026-01-10 16:42:38,r250.5.col,Randomizado,"alpha=0.500000, iter=100",1768074137,6.7473,68
2026-01-10 16:42:58,r250.5.col,Reativo,"iter=300, bloco=50",0,19.9107,68
2026-01-10 16:42:59,r250.5.col,Guloso,"-",1768074179,0.0669,70
2026-01-10 16:43:05,r250.5.col,Randomizado,"alpha=0.100000, iter=100",1768074179,6.7021,68
2026-01-10 16:43:12,r250.5.col,Randomizado,"alpha=0.300000, iter=100",1768074179,6.9495,68
2026-01-10 16:43:19,r250.5.col,Randomizado,"alpha=0.500000, iter=100",1768074179,6.7524,68
2026-01-10 16:43:39,r250.5.col,Reativo,"iter=300, bloco=50",0,19.7901,68
2026-01-10 16:43:40,r250.5.col,Guloso,"-",1768074220,0.0687,70
2026-01-10 16:43:47,r250.5.col,Randomizado,"alpha=0.100000, iter=100",1768074220,6.6643,69
2026-01-10 16:43:53,r250.5.col,Randomizado,"alpha=0.300000, iter=100",1768074220,6.8249,66
2026-01-10 16:44:00,r250.5.col,Randomizado,"alpha=0.500000, iter=100",1768074220,6.7340,68
2026-01-10 16:44:20,r250.5.col,Reativo,"iter=300, bloco=50",0,19.9069,68
2026-01-10 16:44:21,r250.5.col,Guloso,"-",1768074261,0.0679,70
2026-01-10 16:44:28,r250.5.col,Randomizado,"alpha=0.100000, iter=100",1768074261,6.5814,69
2026-01-10 16:44:34,r250.5.col,Randomizado,"alpha=0.300000, iter=100",1768074261,6.8533,68
2026-01-10 16:44:41,r250.5.col,Randomizado,"alpha=0.500000, iter=100",1768074261,6.7835,69
2026-01-10 16:45:01,r250.5.col,Reativo,"iter=300, bloco=50",0,19.7853,68
2026-01-10 16:45:02,r250.5.col,Guloso,"-",1768074302,0.0748,70
2026-01-10 16:45:09,r250.5.col,Randomizado,"alpha=0.100000, iter=100",1768074302,6.7460,68
2026-01-10 16:45:16,r250.5.col,Randomizado,"alpha=0.300000, iter=100",1768074302,7.1146,68
2026-01-10 16:45:23,r250.5.col,Randomizado,"alpha=0.500000, iter=100",1768074302,6.8216,67
2026-01-10 16:45:43,r250.5.col,Reativo,"iter=300, bloco=50",0,20.0945,68
2026-01-10 16:45:44,r250.5.col,Guloso,"-",1768074344,0.0760,70
2026-01-10 16:45:51,r250.5.col,Randomizado,"alpha=0.100000, iter=100",1768074344,6.7067,69
2026-01-10 16:45:58,r250.5.col,Randomizado,"alpha=0.300000, iter=100",1768074344,6.8188,68
2026-01-10 16:46:04,r250.5.col,Randomizado,"alpha=0.500000, iter=100",1768074344,6.8118,68
2026-01-10 16:46:26,r250.5.col,Reativo,"iter=300, bloco=50",0,21.5110,68
2026-01-10 16:46:27,dsjc250.5.col,Guloso,"-",1768074387,0.0355,40
2026-01-10 16:46:31,dsjc250.5.col,Randomizado,"alpha=0.100000, iter=100",1768074387,3.6235,37
2026-01-10 16:46:34,dsjc250.5.col,Randomizado,"alpha=0.300000, iter=100",1768074387,3.6323,37
2026-01-10 16:46:38,dsjc250.5.col,Randomizado,"alpha=0.500000, iter=100",1768074387,3.4166,37
2026-01-10 16:46:48,dsjc250.5.col,Reativo,"iter=300, bloco=50",0,10.4288,36
2026-01-10 16:46:49,dsjc250.5.col,Guloso,"-",1768074409,0.0350,40
2026-01-10 16:46:53,dsjc250.5.col,Randomizado,"alpha=0.100000, iter=100",1768074409,3.4800,37
2026-01-10 16:46:56,dsjc250.5.col,Randomizado,"alpha=0.300000, iter=100",1768074409,3.5200,37
2026-01-10 16:46:59,dsjc250.5.col,Randomizado,"alpha=0.500000, iter=100",1768074409,3.4153,38
2026-01-10 16:47:10,dsjc250.5.col,Reativo,"iter=300, bloco=50",0,10.4437,37
2026-01-10 16:47:11,dsjc250.5.col,Guloso,"-",1768074431,0.0353,40
2026-01-10 16:47:14,dsjc250.5.col,Randomizado,"alpha=0.100000, iter=100",1768074431,3.4691,37
2026-01-10 16:47:18,dsjc250.5.col,Randomizado,"alpha=0.300000, iter=100",1768074431,3.5239,37
2026-01-10 16:47:21,dsjc250.5.col,Randomizado,"alpha=0.500000, iter=100",1768074431,3.4451,37
2026-01-10 16:47:32,dsjc250.5.col,Reativo,"iter=300, bloco=50",0,10.4687,37
2026-01-10 16:47:33,dsjc250.5.col,Guloso,"-",1768074453,0.0362,40
2026-01-10 16:47:36,dsjc250.5.col,Randomizado,"alpha=0.100000, iter=100",1768074453,3.4695,37
2026-01-10 16:47:40,dsjc250.5.col,Randomizado,"alpha=0.300000, iter=100",1768074453,3.5092,38
2026-01-10 16:47:43,dsjc250.5.col,Randomizado,"alpha=0.500000, iter=100",1768074453,3.4719,37
2026-01-10 16:47:54,dsjc250.5.col,Reativo,"iter=300, bloco=50",0,10.3363,37
2026-01-10 16:47:55,dsjc250.5.col,Guloso,"-",1768074475,0.0359,40
2026-01-10 16:47:58,dsjc250.5.col,Randomizado,"alpha=0.100000, iter=100",1768074475,3.4986,37
2026-01-10 16:48:02,dsjc250.5.col,Randomizado,"alpha=0.300000, iter=100",1768074475,3.4899,37
